"VAT THRESHOLD ASSESSMENT — DR SMITH AESTHETICS"
"Square card machine data: 01/01/2025 – 01/04/2026"
"Generated: 02/04/2026"
"IMPORTANT: Booking system transactions not included — add for complete picture"

"Date","Net Sales (£)","Cumulative Total (£)","Rolling 12-Month Total (£)","Notes"
"01/01/2025","0.00","0.00","",""
"02/01/2025","232.50","232.50","",""
"03/01/2025","0.00","232.50","",""
"04/01/2025","30.00","262.50","",""
"05/01/2025","343.50","606.00","",""
"06/01/2025","0.00","606.00","",""
"07/01/2025","0.00","606.00","",""
"08/01/2025","0.00","606.00","",""
"09/01/2025","0.00","606.00","",""
"10/01/2025","0.00","606.00","",""
"11/01/2025","0.00","606.00","",""
"12/01/2025","0.00","606.00","",""
"13/01/2025","30.00","636.00","",""
"14/01/2025","0.00","636.00","",""
"15/01/2025","0.00","636.00","",""
"16/01/2025","0.00","636.00","",""
"17/01/2025","100.00","736.00","",""
"18/01/2025","0.00","736.00","",""
"19/01/2025","0.00","736.00","",""
"20/01/2025","0.00","736.00","",""
"21/01/2025","0.00","736.00","",""
"22/01/2025","180.00","916.00","",""
"23/01/2025","0.00","916.00","",""
"24/01/2025","1096.50","2012.50","",""
"25/01/2025","100.00","2112.50","",""
"26/01/2025","0.00","2112.50","",""
"27/01/2025","141.00","2253.50","",""
"28/01/2025","216.00","2469.50","",""
"29/01/2025","0.00","2469.50","",""
"30/01/2025","342.00","2811.50","",""
"31/01/2025","826.50","3638.00","3638.00",""
"01/02/2025","1020.00","4658.00","",""
"02/02/2025","0.00","4658.00","",""
"03/02/2025","216.00","4874.00","",""
"04/02/2025","186.00","5060.00","",""
"05/02/2025","0.00","5060.00","",""
"06/02/2025","0.00","5060.00","",""
"07/02/2025","158.30","5218.30","",""
"08/02/2025","0.00","5218.30","",""
"09/02/2025","225.00","5443.30","",""
"10/02/2025","324.41","5767.71","",""
"11/02/2025","0.00","5767.71","",""
"12/02/2025","0.00","5767.71","",""
"13/02/2025","290.00","6057.71","",""
"14/02/2025","90.00","6147.71","",""
"15/02/2025","0.00","6147.71","",""
"16/02/2025","432.00","6579.71","",""
"17/02/2025","50.00","6629.71","",""
"18/02/2025","125.00","6754.71","",""
"19/02/2025","249.00","7003.71","",""
"20/02/2025","159.00","7162.71","",""
"21/02/2025","343.00","7505.71","",""
"22/02/2025","190.00","7695.71","",""
"23/02/2025","310.50","8006.21","",""
"24/02/2025","0.00","8006.21","",""
"25/02/2025","0.00","8006.21","",""
"26/02/2025","675.00","8681.21","",""
"27/02/2025","0.00","8681.21","",""
"28/02/2025","346.66","9027.87","9027.87",""
"01/03/2025","369.00","9396.87","",""
